cell_type,rank,Gene1,Gene2,EdgeWeight
ctx_ex,1,MYT1L,MALAT1,52.71077805670195
ctx_ex,2,MYT1L,CNTNAP2,50.73003758039099
ctx_ex,3,MYT1L,TMSB4X,46.664964943489466
ctx_ex,4,MYT1L,NRXN1,45.74790623682619
ctx_ex,5,MYT1L,TUBA1A,45.1912566632876
ctx_ex,6,MYT1L,EPHA3,45.17283876787192
ctx_ex,7,MYT1L,PTPRD,45.14605734585655
ctx_ex,8,MYT1L,SOX4,44.913261213417876
ctx_ex,9,MYT1L,DLGAP1,44.8539084369114
ctx_ex,10,MYT1L,LRRC7,44.85390800843084
ctx_ex,11,MYT1L,AUTS2,44.81736595682851
ctx_ex,12,MYT1L,GPM6A,44.485137472737065
ctx_ex,13,MYT1L,TMSB10,44.41947567481882
ctx_ex,14,MYT1L,MT-CO1,44.33614163724221
ctx_ex,15,MYT1L,MT-CO3,44.259960344036195
ctx_ex,16,MYT1L,MT-CO2,44.21839972875627
ctx_ex,17,MYT1L,PDE4D,44.13550466213132
ctx_ex,18,MYT1L,MAP1B,44.00412166155889
ctx_ex,19,MYT1L,FTX,43.99361870442984
ctx_ex,20,MYT1L,ANKS1B,43.53351785199045
ctx_ex,21,MYT1L,MEIS2,43.469786719564
ctx_ex,22,MYT1L,SYT1,43.46478760558474
ctx_ex,23,MYT1L,ACTB,43.217780355358805
ctx_ex,24,MYT1L,NFIB,43.19786120151802
ctx_ex,25,MYT1L,DSCAM,43.01166821705303
ctx_ex,26,MYT1L,MT-CYB,42.991495703875664
ctx_ex,27,MYT1L,STMN2,42.90671311924219
ctx_ex,28,MYT1L,NAV3,42.869634408005574
ctx_ex,29,MYT1L,MT-ATP6,42.81666922327288
ctx_ex,30,MYT1L,IL1RAPL1,42.77000952571832
ctx_ex,31,MYT1L,TCF4,42.74259984439448
ctx_ex,32,MYT1L,SOX11,42.72217907132032
ctx_ex,33,MYT1L,ACTG1,42.6265001970347
ctx_ex,34,MYT1L,MAP2,42.26493490259482
ctx_ex,35,MYT1L,STMN1,42.16358545676861
ctx_ex,36,MYT1L,DCX,42.06093352423508
ctx_ex,37,MYT1L,ANK2,42.0554403339296
ctx_ex,38,MYT1L,DCC,41.924175649060494
ctx_ex,39,MYT1L,TTC28,41.78488579104908
ctx_ex,40,MYT1L,CTNNA2,41.65263342722829
ctx_ex,41,MYT1L,FRMD4A,41.58937080489873
ctx_ex,42,MYT1L,KCNQ3,41.53569960253269
ctx_ex,43,MYT1L,ADGRB3,41.38797354670901
ctx_ex,44,MYT1L,HSP90AA1,41.223282517802694
ctx_ex,45,MYT1L,MT-ND3,40.805662015180445
ctx_ex,46,MYT1L,FTH1,40.61221030177636
ctx_ex,47,MYT1L,TUBB2B,40.23522949087633
ctx_ex,48,MYT1L,CCSER1,40.211751936971986
ctx_ex,49,MYT1L,CTNND2,40.17680400895477
ctx_ex,50,MYT1L,NLGN1,40.104384450685544
ctx_ex,51,MYT1L,MT-ND4,40.067316970292275
ctx_ex,52,MYT1L,CSRP2,39.90322169509655
ctx_ex,53,MYT1L,KALRN,39.876875662192056
ctx_ex,54,MYT1L,SLA,39.58529183656465
ctx_ex,55,MYT1L,AL589740.1,39.45352240605503
ctx_ex,56,MYT1L,TUBB,39.389583779073305
ctx_ex,57,MYT1L,JMJD1C,39.25819764960245
ctx_ex,58,MYT1L,RBFOX1,39.24689783198306
ctx_ex,59,MYT1L,ROBO2,39.127314824311355
ctx_ex,60,MYT1L,PTMA,39.01212072327549
ctx_ex,61,BCL11A,DLG2,39.01166224806667
ctx_ex,62,MYT1L,ROBO1,38.92616178521803
ctx_ex,63,MYT1L,BEX3,38.83897456976828
ctx_ex,64,MYT1L,CACNA2D1,38.7958429052451
ctx_ex,65,MYT1L,TMEM108,38.76696810830071
ctx_ex,66,MYT1L,BASP1,38.74323016059803
ctx_ex,67,MYT1L,CELF2,38.74016170907103
ctx_ex,68,MYT1L,ENOX1,38.6814959580041
ctx_ex,69,MYT1L,MT-ND2,38.68034242868676
ctx_ex,70,BCL11A,NRG3,38.65659361512964
ctx_ex,71,MYT1L,TIAM2,38.530816638006876
ctx_ex,72,MYT1L,CLASP2,38.43896370065841
ctx_ex,73,MYT1L,TCF12,38.4219107106854
ctx_ex,74,MYT1L,GRIA1,38.395739240260994
ctx_ex,75,MYT1L,AFF3,38.315532432851185
ctx_ex,76,MYT1L,PTPRZ1,38.30610980493133
ctx_ex,77,MYT1L,PID1,38.25099118721402
ctx_ex,78,MYT1L,FRMD4B,38.23414029752789
ctx_ex,79,MYT1L,PBX1,38.125303229590266
ctx_ex,80,BCL11A,MALAT1,38.1181515899122
ctx_ex,81,MYT1L,PPP2R2B,37.973065712004896
ctx_ex,82,MYT1L,EXOC4,37.96612658982407
ctx_ex,83,MYT1L,NBEA,37.940339418880015
ctx_ex,84,BCL11A,RBFOX1,37.89814244288253
ctx_ex,85,MYT1L,SPIRE1,37.88098460696991
ctx_ex,86,MYT1L,CASC15,37.74237450975821
ctx_ex,87,BCL11A,TENM4,37.69949783379325
ctx_ex,88,BCL11A,PID1,37.52012037751494
ctx_ex,89,MYT1L,RERE,37.51004641117783
ctx_ex,90,MYT1L,SOX5,37.503260618146705
ctx_ex,91,MYT1L,MLLT3,37.41973037170418
ctx_ex,92,MYT1L,RPS8,37.190310533597525
ctx_ex,93,MYT1L,PAK3,37.098095429736134
ctx_ex,94,MYT1L,MT-ND5,37.035489552255314
ctx_ex,95,MYT1L,CUX2,37.03537434106795
ctx_ex,96,MYT1L,NCAM1,36.96003205344409
ctx_ex,97,KDM5B,MALAT1,36.908731474638856
ctx_ex,98,MYT1L,RTN4,36.82485666973726
ctx_ex,99,MYT1L,MAPK8,36.7286311985108
ctx_ex,100,BCL11A,FGF13,36.720723501530706
ctx_ex,101,BCL11A,EXOC4,36.69911846466064
ctx_ex,102,MYT1L,H3-3B,36.684298387244795
ctx_ex,103,MYT1L,GPHN,36.58549927936284
ctx_ex,104,BCL11A,PTPRO,36.58248631134825
ctx_ex,105,MYT1L,TENM4,36.563743803120126
ctx_ex,106,BCL11A,CACNA2D1,36.522218118432875
